Channel,tstat,p
Fp1,-1.70492300167923,0.0884625401792054
AF3,-1.80189013838452,0.0718086651457495
F7,-2.19405210566502,0.0284191036283818
F3,-0.60923130196603,0.542484195792369
FC1,-2.67978396708448,0.00746580411519847
FC5,-2.47133445763121,0.0135962951308276
T7,-0.432062222503689,0.665772291254744
C3,0.558287204058461,0.576750386098512
CP1,-0.381543781973293,0.702866012826738
CP5,0.806953834197384,0.419849851821536
P7,1.38406379593919,0.166591226474639
P3,1.69152421047271,0.0909912789635194
Pz,1.4204007452355,0.155745715173408
PO3,1.94446427963669,0.0520683199069848
O1,1.12282422565848,0.261732345967503
Oz,0.992610870223384,0.321095807858137
O2,0.823850264805793,0.410185139963674
PO4,1.99307265378487,0.046475190222137
P4,2.07715543853455,0.0379953654393693
P8,2.32248187579109,0.0203703422327667
CP6,1.56965820126133,0.116753109242819
CP2,-0.20605258354889,0.836784103266301
C4,-0.168173332572771,0.866474702801721
T8,0.280991662771214,0.778764284635508
FC6,-0.216745403035922,0.828442881748477
FC2,-1.85625245824595,0.0636577521714588
F4,-0.0357635720306221,0.97147671117736
F8,0.861246821113472,0.389270797789583
AF4,-0.530731233816859,0.595701317354994
Fp2,-0.96546917697196,0.334500578889622
Fz,-1.97896795605796,0.0480434403389302
Cz,-0.682326201110155,0.495161811298501
