Channel,tstat,p
Fp1,-1.06954819579253,0.285032907763301
AF3,-1.14718181092361,0.251529943039383
F7,-0.913389955135115,0.3612167779241
F3,-2.27523296046334,0.0230636843150903
FC1,-1.30981439160773,0.190503610853612
FC5,-1.26820346159709,0.204965678814639
T7,1.50971858904488,0.13137249321552
C3,0.465580619090787,0.641598276489652
CP1,1.39816910220512,0.16231475672169
CP5,2.2610010631668,0.0239335909933274
P7,2.3926069130613,0.0168787089999432
P3,1.79428316436006,0.0730138863563591
Pz,1.05814501421213,0.290197434112056
PO3,1.6017666441424,0.109464408499514
O1,1.67669599911865,0.093856462191057
Oz,0.691365257240225,0.489466708875909
O2,0.761465490621622,0.446525288420762
PO4,1.48341922189116,0.138219662476277
P4,1.29313250727256,0.196208447088912
P8,1.06171886559455,0.288572088174921
CP6,0.926916826697171,0.354151854181039
CP2,1.29894935306945,0.194205151628619
C4,0.0799383554102017,0.936299309023301
T8,0.900357167812965,0.368106737107172
FC6,-0.940253339925848,0.347272539573417
FC2,-1.69431897636268,0.0904582486635649
F4,-2.15643880018077,0.0312430702734277
F8,-0.646038690636612,0.51837500489749
AF4,-1.35546899907267,0.175517422032106
Fp2,-0.9065937870747,0.364799502447388
Fz,-2.30273316504832,0.0214604008656746
Cz,1.28824777446066,0.197902402765045
