Channel,tstat,p
Fp1,-1.44556490168996,0.148556094653375
AF3,-1.95994747297519,0.0502292947572559
F7,-0.221392223007919,0.824824096178702
F3,-1.6993160101434,0.0895145869586619
FC1,-2.4202731660598,0.0156541597292947
FC5,-0.966143030071107,0.334164090029198
T7,1.63537700496648,0.102227994628846
C3,-0.908098518473905,0.364005513997485
CP1,-0.622178500132851,0.53394075986935
CP5,1.09393034611014,0.27420146537162
P7,3.34900427430449,0.000835791589787421
P3,1.4776441383771,0.139761151575553
Pz,0.433029463433161,0.665069908330838
PO3,2.07715978963924,0.0379956460793127
O1,1.1910233956477,0.233876068527485
Oz,0.728775085935514,0.46627912296641
O2,0.36392931107628,0.715973854904662
PO4,0.401723902001315,0.687957592256822
P4,0.388097751100974,0.698011403551819
P8,1.59671904581877,0.11058731833748
CP6,1.15931443135649,0.246554890712809
CP2,-0.478244285754969,0.632562030218219
C4,0.59748300364325,0.550295828373272
T8,2.77794237526457,0.00555427213898681
FC6,-0.474893930275644,0.634947576770167
FC2,-2.17798964499568,0.0295978129348878
F4,-2.82775882005958,0.00476413745595503
F8,0.884469109543949,0.376617302663418
AF4,-1.1973269826071,0.231411717809472
Fp2,-1.10080509601275,0.271198635548908
Fz,-2.02343496249216,0.0432460025572676
Cz,-1.01206938406369,0.311705554002044
